<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
21/09/18,112690,112780,112470,112580
21/09/18,112580,112590,112350,112480
21/09/18,112500,112550,112480,112530
21/09/18,112540,112630,112540,112590
21/09/18,112600,112650,112520,112600
21/09/18,112620,112740,112580,112710
21/09/18,112720,112960,112710,112940
21/09/18,112940,112950,112860,112910
21/09/18,112910,113090,112900,113010
21/09/18,113010,113060,112930,112980
21/09/18,112960,113080,112870,112870
21/09/18,112880,112920,112860,112910
21/09/18,112910,113030,112880,112880
21/09/18,112880,112960,112870,112930
21/09/18,112920,112950,112820,112910
21/09/18,112900,113000,112840,112860
21/09/18,112880,112960,112880,112950
21/09/18,112930,112940,112850,112870
21/09/18,112880,112880,112790,112830
21/09/18,112830,112900,112780,112860
21/09/18,112850,112920,112840,112910
21/09/18,112900,112900,112810,112840
21/09/18,112830,112840,112790,112800
21/09/18,112820,112920,112800,112890
21/09/18,112890,113040,112890,113020
21/09/18,113030,113040,112920,112960
21/09/18,112980,113020,112960,113010
21/09/18,113000,113140,113000,113100
21/09/18,113100,113280,113090,113230
21/09/18,113220,113230,113150,113190
21/09/18,113190,113200,113110,113200
21/09/18,113190,113240,113130,113130
21/09/18,113130,113150,113040,113150
21/09/18,113160,113180,113090,113120
21/09/18,113120,113150,113080,113150
21/09/18,113160,113180,113050,113070
21/09/18,113060,113100,113000,113010
21/09/18,113000,113050,112940,112960
21/09/18,112950,112970,112870,112880
21/09/18,112880,112950,112870,112880
21/09/18,112890,112890,112810,112850
21/09/18,112860,112910,112810,112860
21/09/18,112850,112880,112810,112870
21/09/18,112860,112910,112850,112880
21/09/18,112880,112890,112760,112780
21/09/18,112780,112800,112690,112700
21/09/18,112720,112770,112690,112740
21/09/18,112740,112790,112730,112790
21/09/18,112790,112800,112720,112760
21/09/18,112780,112820,112760,112800
21/09/18,112790,112810,112710,112710
21/09/18,112710,112730,112680,112680
21/09/18,112680,112750,112660,112750
21/09/18,112730,112840,112730,112830
21/09/18,112830,112880,112810,112860
21/09/18,112840,112890,112790,112820
21/09/18,112820,112960,112820,112960
21/09/18,112950,112960,112870,112890
21/09/18,112880,112920,112870,112880
21/09/18,112870,112950,112850,112910
21/09/18,112900,112990,112890,112980
21/09/18,112980,113060,112970,113040
21/09/18,113010,113030,112970,113010
21/09/18,113000,113100,112970,113040
21/09/18,113050,113100,113020,113070
21/09/18,113060,113080,112940,112960
21/09/18,112950,113000,112910,112990
21/09/18,112990,113000,112910,112910
21/09/18,112910,112910,112820,112820
21/09/18,112840,112870,112790,112840
21/09/18,112850,112930,112810,112920
21/09/18,112930,112940,112870,112890
21/09/18,112890,112890,112850,112850
21/09/18,112850,112890,112790,112880
21/09/18,112880,112940,112860,112940
21/09/18,112920,112940,112840,112850
21/09/18,112860,112910,112840,112880
21/09/18,112890,112910,112870,112870
21/09/18,112890,113010,112890,112980
21/09/18,112990,113000,112940,112940
21/09/18,112950,113040,112920,113010
21/09/18,113010,113160,113010,113130
21/09/18,113130,113190,113100,113130
21/09/18,113140,113200,113120,113180
21/09/18,113180,113210,113120,113210
21/09/18,113210,113260,113160,113220
21/09/18,113210,113250,113180,113190
21/09/18,113200,113220,113160,113170
21/09/18,113180,113190,113160,113160
21/09/18,113160,113280,113160,113230
21/09/18,113250,113310,113210,113290
21/09/18,113270,113340,113250,113300
21/09/18,113300,113310,113250,113280
21/09/18,113280,113300,113210,113220
21/09/18,113230,113250,113160,113160
21/09/18,113160,113250,113140,113230
21/09/18,113240,113240,113150,113190
21/09/18,113190,113200,113170,113180
21/09/18,113190,113190,113130,113170
21/09/18,113170,113220,113160,113220
21/09/18,113210,113290,113200,113240
21/09/18,113240,113240,113150,113220
21/09/18,113200,113220,113180,113200
21/09/18,113200,113270,113180,113260
21/09/18,113240,113290,113240,113270
21/09/18,113260,113300,113260,113290
21/09/18,113290,113300,113260,113270
21/09/18,113290,113300,113260,113270
21/09/18,113270,113320,113250,113320
21/09/18,113310,113320,113290,113310
21/09/18,113320,113390,113300,113350
21/09/18,113350,113350,113260,113280
21/09/18,113290,113300,113240,113250
21/09/18,113260,113290,113250,113280
21/09/18,113280,113280,113170,113190
21/09/18,113200,113250,113180,113220
21/09/18,113220,113230,113180,113190
21/09/18,113200,113210,113170,113170
21/09/18,113170,113220,113160,113220
21/09/18,113220,113220,113180,113200
21/09/18,113210,113250,113200,113200
21/09/18,113200,113200,113140,113160
21/09/18,113160,113180,113140,113150
21/09/18,113150,113200,113150,113180
21/09/18,113170,113190,113140,113170
21/09/18,113180,113220,113170,113170
21/09/18,113170,113210,113170,113190
21/09/18,113180,113240,113160,113230
21/09/18,113230,113230,113170,113170
21/09/18,113180,113180,113030,113050
21/09/18,113060,113100,113030,113100
21/09/18,113110,113140,113090,113140
21/09/18,113140,113170,113100,113110
21/09/18,113110,113110,113070,113110
21/09/18,113120,113150,113090,113140
21/09/18,113140,113180,113130,113150
21/09/18,113160,113160,113100,113150
21/09/18,113140,113140,113090,113090
21/09/18,113090,113130,113080,113080
21/09/18,113080,113120,113050,113090
21/09/18,113100,113110,112930,112960
21/09/18,112940,113020,112910,112990
21/09/18,112990,113050,112980,113030
21/09/18,113020,113060,113000,113040
21/09/18,113030,113050,113000,113020
21/09/18,113050,113070,113020,113020
21/09/18,113020,113090,113000,113040
21/09/18,113030,113030,113000,113030
21/09/18,113020,113090,113010,113060
21/09/18,113060,113110,113050,113070
21/09/18,113080,113100,113040,113040
21/09/18,113040,113080,113040,113060
21/09/18,113050,113050,112950,112990
21/09/18,112990,113050,112990,113020
21/09/18,113020,113040,113000,113030
21/09/18,113030,113060,112980,112980
21/09/18,112980,113020,112980,113020
21/09/18,113030,113060,113010,113010
21/09/18,113020,113020,112940,112950
21/09/18,112960,112970,112930,112940
21/09/18,112930,112980,112930,112970
21/09/18,112970,112970,112900,112960
21/09/18,112970,113020,112960,112970
21/09/18,112970,112970,112900,112950
21/09/18,112950,112980,112940,112980
21/09/18,112970,113030,112960,112960
21/09/18,112970,112990,112950,112990
21/09/18,113000,113010,112970,112970
21/09/18,112980,113000,112950,112950
21/09/18,112940,112960,112930,112960
21/09/18,112950,112960,112910,112950
21/09/18,112930,112960,112910,112950
21/09/18,112960,113020,112930,112970
21/09/18,112960,112960,112870,112910
21/09/18,112890,112930,112870,112900
21/09/18,112890,112890,112840,112860
21/09/18,112860,112900,112850,112890
21/09/18,112880,112940,112880,112910
21/09/18,112930,112950,112900,112940
21/09/18,112940,112980,112940,112970
21/09/18,112980,113000,112960,113000
21/09/18,113000,113010,112980,112980
21/09/18,112980,112980,112910,112970
21/09/18,112950,113010,112950,113010
21/09/18,113010,113070,113000,113060
21/09/18,113060,113080,113030,113040
21/09/18,113030,113040,112940,112940
21/09/18,112940,112980,112870,112890
21/09/18,112880,112920,112870,112870
21/09/18,112880,112920,112840,112900
21/09/18,112910,112930,112870,112890
21/09/18,112870,112890,112830,112880
21/09/18,112880,112930,112880,112910
21/09/18,112900,112910,112860,112870
21/09/18,112880,112910,112860,112900
21/09/18,112890,112920,112880,112900
21/09/18,112890,112900,112860,112900
21/09/18,112900,112930,112890,112920
21/09/18,112920,112940,112910,112920
21/09/18,112920,112930,112870,112890
21/09/18,112900,112930,112870,112900
21/09/18,112900,112950,112900,112950
21/09/18,112950,112980,112910,112930
21/09/18,112920,112950,112910,112950
21/09/18,112950,112950,112930,112940
21/09/18,112930,112960,112930,112940
21/09/18,112930,112950,112930,112930
21/09/18,112940,112950,112920,112930
21/09/18,112930,112930,112890,112900
21/09/18,112920,112930,112880,112880
21/09/18,112880,112900,112840,112840
21/09/18,112840,112920,112830,112860
21/09/18,112850,112910,112840,112880
21/09/18,112870,112930,112870,112910
21/09/18,112920,112920,112900,112920
21/09/18,112910,112930,112900,112900
21/09/18,112900,112900,112870,112900
21/09/18,112880,112900,112860,112900
21/09/18,112910,112930,112860,112860
21/09/18,112870,112890,112860,112870
21/09/18,112870,112930,112860,112900
21/09/18,112890,112900,112880,112890
21/09/18,112880,112910,112870,112890
21/09/18,112890,112900,112880,112890
21/09/18,112900,112910,112880,112910
21/09/18,112920,112940,112840,112880
21/09/18,112860,112890,112790,112890
21/09/18,112870,112870,112810,112810
21/09/18,112810,112810,112690,112700
21/09/18,112700,112730,112560,112620
21/09/18,112640,112710,112590,112670
21/09/18,112660,112690,112640,112690
21/09/18,112690,112740,112670,112710
21/09/18,112710,112730,112700,112730
21/09/18,112730,112730,112660,112710
21/09/18,112710,112720,112650,112650
21/09/18,112650,112670,112640,112660
21/09/18,112670,112680,112620,112640
21/09/18,112640,112660,112630,112630
21/09/18,112640,112660,112610,112640
21/09/18,112660,112700,112560,112650
21/09/18,112650,112660,112620,112640
21/09/18,112640,112660,112570,112640
21/09/18,112640,112680,112630,112640
21/09/18,112630,112640,112590,112590
21/09/18,112590,112670,112580,112640
21/09/18,112640,112650,112620,112640
21/09/18,112640,112660,112620,112640
21/09/18,112660,112740,112650,112700
21/09/18,112700,112720,112670,112680
21/09/18,112680,112700,112590,112620
21/09/18,112630,112680,112610,112630
21/09/18,112650,112730,112650,112660
21/09/18,112650,112690,112650,112670
21/09/18,112660,112670,112610,112650
21/09/18,112660,112690,112630,112680
21/09/18,112670,112700,112660,112690
21/09/18,112670,112720,112670,112700
21/09/18,112720,112760,112700,112740
21/09/18,112750,112750,112700,112700
21/09/18,112720,112760,112720,112730
21/09/18,112720,112740,112710,112740
21/09/18,112740,112750,112710,112750
21/09/18,112750,112780,112750,112770
21/09/18,112770,112780,112750,112750
21/09/18,112740,112770,112740,112750
21/09/18,112770,112780,112740,112750
21/09/18,112750,112780,112730,112770
21/09/18,112770,112780,112760,112770
21/09/18,112760,112770,112750,112760
21/09/18,112770,112780,112760,112770
21/09/18,112770,112780,112750,112750
21/09/18,112760,112820,112750,112800
21/09/18,112800,112850,112800,112840
21/09/18,112830,112870,112830,112840
21/09/18,112850,112870,112820,112840
21/09/18,112840,112860,112810,112820
21/09/18,112820,112830,112800,112830
21/09/18,112840,112860,112830,112830
21/09/18,112830,112840,112800,112800
21/09/18,112800,112840,112800,112830
21/09/18,112820,112850,112800,112850
21/09/18,112830,112850,112800,112800
21/09/18,112800,112840,112800,112820
21/09/18,112820,112850,112780,112810
21/09/18,112800,112800,112730,112760
21/09/18,112740,112800,112730,112790
21/09/18,112760,112830,112760,112820
21/09/18,112820,112830,112810,112810
21/09/18,112820,112960,112810,112890
21/09/18,112910,112920,112800,112810
21/09/18,112820,112820,112760,112790
21/09/18,112780,112830,112740,112760
21/09/18,112760,112770,112710,112750
21/09/18,112750,112820,112750,112790
21/09/18,112790,112810,112740,112760
21/09/18,112750,112750,112570,112590
21/09/18,112590,112670,112590,112670
21/09/18,112670,112690,112610,112620
21/09/18,112610,112620,112420,112500
21/09/18,112490,112530,112440,112520
21/09/18,112500,112570,112470,112540
21/09/18,112550,112600,112540,112590
21/09/18,112600,112620,112560,112580
21/09/18,112590,112600,112550,112600
21/09/18,112590,112610,112560,112580
21/09/18,112580,112640,112570,112580
21/09/18,112570,112580,112530,112530
21/09/18,112530,112600,112520,112570
21/09/18,112570,112630,112560,112620
21/09/18,112630,112630,112580,112630
21/09/18,112630,112650,112610,112620
21/09/18,112630,112660,112610,112660
21/09/18,112660,112660,112620,112660
21/09/18,112640,112650,112610,112630
21/09/18,112630,112640,112590,112590
21/09/18,112610,112610,112570,112580
21/09/18,112590,112640,112590,112620
21/09/18,112630,112650,112620,112640
21/09/18,112650,112680,112630,112660
21/09/18,112660,112670,112610,112620
21/09/18,112610,112620,112590,112610
21/09/18,112620,112630,112590,112620
21/09/18,112640,112660,112610,112640
21/09/18,112640,112650,112600,112640
21/09/18,112640,112680,112630,112660
21/09/18,112650,112670,112640,112660
21/09/18,112660,112690,112660,112670
21/09/18,112680,112730,112660,112670
21/09/18,112690,112710,112660,112700
21/09/18,112680,112690,112640,112670
21/09/18,112670,112690,112640,112690
21/09/18,112690,112730,112660,112710
